,CodEstacao,DataHora,Vazao,Nivel,Chuva,Data,Hora
0,45740001,2021-06-01 23:45:00 ,18.19,21.00,0.00,2021-06-01,23:45:00
1,45740001,2021-06-01 23:30:00 ,18.19,21.00,0.00,2021-06-01,23:30:00
2,45740001,2021-06-01 23:15:00 ,18.19,21.00,0.00,2021-06-01,23:15:00
3,45740001,2021-06-01 23:00:00 ,18.19,21.00,0.00,2021-06-01,23:00:00
4,45740001,2021-06-01 22:45:00 ,18.19,21.00,0.00,2021-06-01,22:45:00
5,45740001,2021-06-01 22:30:00 ,18.19,21.00,0.00,2021-06-01,22:30:00
6,45740001,2021-06-01 22:15:00 ,18.19,21.00,0.00,2021-06-01,22:15:00
7,45740001,2021-06-01 22:00:00 ,18.19,21.00,0.00,2021-06-01,22:00:00
8,45740001,2021-06-01 21:45:00 ,18.19,21.00,0.00,2021-06-01,21:45:00
9,45740001,2021-06-01 21:30:00 ,18.19,21.00,0.00,2021-06-01,21:30:00
10,45740001,2021-06-01 21:15:00 ,18.19,21.00,0.00,2021-06-01,21:15:00
11,45740001,2021-06-01 21:00:00 ,18.19,21.00,0.00,2021-06-01,21:00:00
12,45740001,2021-06-01 20:45:00 ,18.19,21.00,0.00,2021-06-01,20:45:00
13,45740001,2021-06-01 20:30:00 ,18.19,21.00,0.00,2021-06-01,20:30:00
14,45740001,2021-06-01 20:15:00 ,18.19,21.00,0.00,2021-06-01,20:15:00
15,45740001,2021-06-01 20:00:00 ,18.19,21.00,0.00,2021-06-01,20:00:00
16,45740001,2021-06-01 19:45:00 ,18.19,21.00,0.00,2021-06-01,19:45:00
17,45740001,2021-06-01 19:30:00 ,18.19,21.00,0.00,2021-06-01,19:30:00
18,45740001,2021-06-01 19:15:00 ,18.19,21.00,0.00,2021-06-01,19:15:00
19,45740001,2021-06-01 19:00:00 ,18.19,21.00,0.00,2021-06-01,19:00:00
20,45740001,2021-06-01 18:45:00 ,18.19,21.00,0.00,2021-06-01,18:45:00
21,45740001,2021-06-01 18:30:00 ,18.19,21.00,0.00,2021-06-01,18:30:00
22,45740001,2021-06-01 18:15:00 ,18.19,21.00,0.00,2021-06-01,18:15:00
23,45740001,2021-06-01 18:00:00 ,18.19,21.00,0.00,2021-06-01,18:00:00
24,45740001,2021-06-01 17:45:00 ,18.19,21.00,0.00,2021-06-01,17:45:00
25,45740001,2021-06-01 17:30:00 ,18.19,21.00,0.00,2021-06-01,17:30:00
26,45740001,2021-06-01 17:15:00 ,18.19,21.00,0.00,2021-06-01,17:15:00
27,45740001,2021-06-01 17:00:00 ,18.19,21.00,0.00,2021-06-01,17:00:00
28,45740001,2021-06-01 16:45:00 ,18.19,21.00,0.00,2021-06-01,16:45:00
29,45740001,2021-06-01 16:30:00 ,18.19,21.00,0.00,2021-06-01,16:30:00
30,45740001,2021-06-01 16:15:00 ,18.19,21.00,0.00,2021-06-01,16:15:00
31,45740001,2021-06-01 16:00:00 ,18.19,21.00,0.00,2021-06-01,16:00:00
32,45740001,2021-06-01 15:45:00 ,18.19,21.00,0.00,2021-06-01,15:45:00
33,45740001,2021-06-01 15:30:00 ,18.19,21.00,0.00,2021-06-01,15:30:00
34,45740001,2021-06-01 15:15:00 ,18.19,21.00,0.00,2021-06-01,15:15:00
35,45740001,2021-06-01 15:00:00 ,18.19,21.00,0.00,2021-06-01,15:00:00
36,45740001,2021-06-01 14:45:00 ,18.19,21.00,0.00,2021-06-01,14:45:00
37,45740001,2021-06-01 14:30:00 ,18.19,21.00,0.00,2021-06-01,14:30:00
38,45740001,2021-06-01 14:15:00 ,18.19,21.00,0.00,2021-06-01,14:15:00
39,45740001,2021-06-01 14:00:00 ,18.19,21.00,0.00,2021-06-01,14:00:00
40,45740001,2021-06-01 13:45:00 ,18.19,21.00,0.00,2021-06-01,13:45:00
41,45740001,2021-06-01 13:30:00 ,18.19,21.00,0.00,2021-06-01,13:30:00
42,45740001,2021-06-01 13:15:00 ,18.19,21.00,0.00,2021-06-01,13:15:00
43,45740001,2021-06-01 13:00:00 ,18.19,21.00,0.00,2021-06-01,13:00:00
44,45740001,2021-06-01 12:45:00 ,18.19,21.00,0.00,2021-06-01,12:45:00
45,45740001,2021-06-01 12:30:00 ,18.19,21.00,0.00,2021-06-01,12:30:00
46,45740001,2021-06-01 12:15:00 ,18.19,21.00,0.00,2021-06-01,12:15:00
47,45740001,2021-06-01 12:00:00 ,18.19,21.00,0.00,2021-06-01,12:00:00
48,45740001,2021-06-01 11:45:00 ,18.19,21.00,0.00,2021-06-01,11:45:00
49,45740001,2021-06-01 11:30:00 ,18.19,21.00,0.00,2021-06-01,11:30:00
50,45740001,2021-06-01 11:15:00 ,18.19,21.00,0.00,2021-06-01,11:15:00
51,45740001,2021-06-01 11:00:00 ,18.19,21.00,0.00,2021-06-01,11:00:00
52,45740001,2021-06-01 10:45:00 ,18.19,21.00,0.00,2021-06-01,10:45:00
53,45740001,2021-06-01 10:30:00 ,18.19,21.00,0.00,2021-06-01,10:30:00
54,45740001,2021-06-01 10:15:00 ,18.19,21.00,0.00,2021-06-01,10:15:00
55,45740001,2021-06-01 10:00:00 ,18.19,21.00,0.00,2021-06-01,10:00:00
56,45740001,2021-06-01 09:45:00 ,18.19,21.00,0.00,2021-06-01,09:45:00
57,45740001,2021-06-01 09:30:00 ,18.19,21.00,0.00,2021-06-01,09:30:00
58,45740001,2021-06-01 09:15:00 ,18.19,21.00,0.00,2021-06-01,09:15:00
59,45740001,2021-06-01 09:00:00 ,18.19,21.00,0.00,2021-06-01,09:00:00
