,CodEstacao,DataHora,Vazao,Nivel,Chuva,Data,Hora
0,45880000,2021-06-01 23:45:00 ,34.60,16.00,0.00,2021-06-01,23:45:00
1,45880000,2021-06-01 23:30:00 ,34.60,16.00,0.00,2021-06-01,23:30:00
2,45880000,2021-06-01 23:15:00 ,34.60,16.00,0.00,2021-06-01,23:15:00
3,45880000,2021-06-01 23:00:00 ,34.60,16.00,0.00,2021-06-01,23:00:00
4,45880000,2021-06-01 22:45:00 ,34.60,16.00,0.00,2021-06-01,22:45:00
5,45880000,2021-06-01 22:30:00 ,34.60,16.00,0.00,2021-06-01,22:30:00
6,45880000,2021-06-01 22:15:00 ,34.60,16.00,0.00,2021-06-01,22:15:00
7,45880000,2021-06-01 22:00:00 ,34.60,16.00,0.00,2021-06-01,22:00:00
8,45880000,2021-06-01 21:45:00 ,34.60,16.00,0.00,2021-06-01,21:45:00
9,45880000,2021-06-01 21:30:00 ,34.60,16.00,0.00,2021-06-01,21:30:00
10,45880000,2021-06-01 21:15:00 ,34.60,16.00,0.00,2021-06-01,21:15:00
11,45880000,2021-06-01 21:00:00 ,34.60,16.00,0.00,2021-06-01,21:00:00
12,45880000,2021-06-01 20:45:00 ,34.60,16.00,0.00,2021-06-01,20:45:00
13,45880000,2021-06-01 20:30:00 ,34.60,16.00,0.00,2021-06-01,20:30:00
14,45880000,2021-06-01 20:15:00 ,34.60,16.00,0.00,2021-06-01,20:15:00
15,45880000,2021-06-01 20:00:00 ,34.60,16.00,0.00,2021-06-01,20:00:00
16,45880000,2021-06-01 19:45:00 ,34.60,16.00,0.00,2021-06-01,19:45:00
17,45880000,2021-06-01 19:30:00 ,34.60,16.00,0.00,2021-06-01,19:30:00
18,45880000,2021-06-01 19:15:00 ,34.60,16.00,0.00,2021-06-01,19:15:00
19,45880000,2021-06-01 19:00:00 ,34.60,16.00,0.00,2021-06-01,19:00:00
20,45880000,2021-06-01 18:45:00 ,34.60,16.00,0.00,2021-06-01,18:45:00
21,45880000,2021-06-01 18:30:00 ,34.60,16.00,0.00,2021-06-01,18:30:00
22,45880000,2021-06-01 18:15:00 ,34.60,16.00,0.00,2021-06-01,18:15:00
23,45880000,2021-06-01 18:00:00 ,34.60,16.00,0.00,2021-06-01,18:00:00
24,45880000,2021-06-01 17:45:00 ,34.60,16.00,0.00,2021-06-01,17:45:00
25,45880000,2021-06-01 17:30:00 ,34.60,16.00,0.00,2021-06-01,17:30:00
26,45880000,2021-06-01 17:15:00 ,34.60,16.00,0.00,2021-06-01,17:15:00
27,45880000,2021-06-01 17:00:00 ,34.60,16.00,0.00,2021-06-01,17:00:00
28,45880000,2021-06-01 16:45:00 ,34.60,16.00,0.00,2021-06-01,16:45:00
29,45880000,2021-06-01 16:30:00 ,34.60,16.00,0.00,2021-06-01,16:30:00
30,45880000,2021-06-01 16:15:00 ,34.60,16.00,0.00,2021-06-01,16:15:00
31,45880000,2021-06-01 16:00:00 ,34.60,16.00,0.00,2021-06-01,16:00:00
32,45880000,2021-06-01 15:45:00 ,34.60,16.00,0.00,2021-06-01,15:45:00
33,45880000,2021-06-01 15:30:00 ,34.60,16.00,0.00,2021-06-01,15:30:00
34,45880000,2021-06-01 15:15:00 ,34.60,16.00,0.00,2021-06-01,15:15:00
35,45880000,2021-06-01 15:00:00 ,34.60,16.00,0.00,2021-06-01,15:00:00
36,45880000,2021-06-01 14:45:00 ,34.60,16.00,0.00,2021-06-01,14:45:00
37,45880000,2021-06-01 14:30:00 ,34.60,16.00,0.00,2021-06-01,14:30:00
38,45880000,2021-06-01 14:15:00 ,34.60,16.00,0.00,2021-06-01,14:15:00
39,45880000,2021-06-01 14:00:00 ,34.60,16.00,0.00,2021-06-01,14:00:00
40,45880000,2021-06-01 13:45:00 ,34.60,16.00,0.00,2021-06-01,13:45:00
41,45880000,2021-06-01 13:30:00 ,34.60,16.00,0.00,2021-06-01,13:30:00
42,45880000,2021-06-01 13:15:00 ,34.60,16.00,0.00,2021-06-01,13:15:00
43,45880000,2021-06-01 13:00:00 ,34.60,16.00,0.00,2021-06-01,13:00:00
44,45880000,2021-06-01 12:45:00 ,34.60,16.00,0.00,2021-06-01,12:45:00
45,45880000,2021-06-01 12:30:00 ,34.60,16.00,0.00,2021-06-01,12:30:00
46,45880000,2021-06-01 12:15:00 ,34.60,16.00,0.00,2021-06-01,12:15:00
47,45880000,2021-06-01 12:00:00 ,34.60,16.00,0.00,2021-06-01,12:00:00
48,45880000,2021-06-01 11:45:00 ,34.60,16.00,0.00,2021-06-01,11:45:00
49,45880000,2021-06-01 11:30:00 ,34.60,16.00,0.00,2021-06-01,11:30:00
50,45880000,2021-06-01 11:15:00 ,34.60,16.00,0.00,2021-06-01,11:15:00
51,45880000,2021-06-01 11:00:00 ,34.60,16.00,0.00,2021-06-01,11:00:00
52,45880000,2021-06-01 10:45:00 ,34.60,16.00,0.00,2021-06-01,10:45:00
53,45880000,2021-06-01 10:30:00 ,34.04,15.00,0.00,2021-06-01,10:30:00
54,45880000,2021-06-01 10:15:00 ,34.60,16.00,0.00,2021-06-01,10:15:00
55,45880000,2021-06-01 10:00:00 ,34.04,15.00,0.00,2021-06-01,10:00:00
56,45880000,2021-06-01 09:45:00 ,34.60,16.00,0.00,2021-06-01,09:45:00
57,45880000,2021-06-01 09:30:00 ,34.60,16.00,0.00,2021-06-01,09:30:00
58,45880000,2021-06-01 09:15:00 ,34.04,15.00,0.00,2021-06-01,09:15:00
59,45880000,2021-06-01 09:00:00 ,34.04,15.00,0.00,2021-06-01,09:00:00
60,45880000,2021-06-01 08:45:00 ,34.04,15.00,0.00,2021-06-01,08:45:00
61,45880000,2021-06-01 08:30:00 ,34.04,15.00,0.00,2021-06-01,08:30:00
62,45880000,2021-06-01 08:15:00 ,34.04,15.00,0.00,2021-06-01,08:15:00
63,45880000,2021-06-01 08:00:00 ,34.04,15.00,0.00,2021-06-01,08:00:00
64,45880000,2021-06-01 07:45:00 ,34.04,15.00,0.00,2021-06-01,07:45:00
65,45880000,2021-06-01 07:30:00 ,34.04,15.00,0.00,2021-06-01,07:30:00
66,45880000,2021-06-01 07:15:00 ,34.04,15.00,0.00,2021-06-01,07:15:00
67,45880000,2021-06-01 07:00:00 ,34.04,15.00,0.00,2021-06-01,07:00:00
68,45880000,2021-06-01 06:45:00 ,34.04,15.00,0.00,2021-06-01,06:45:00
69,45880000,2021-06-01 06:30:00 ,34.04,15.00,0.00,2021-06-01,06:30:00
70,45880000,2021-06-01 06:15:00 ,34.04,15.00,0.00,2021-06-01,06:15:00
71,45880000,2021-06-01 06:00:00 ,34.04,15.00,0.00,2021-06-01,06:00:00
72,45880000,2021-06-01 05:45:00 ,34.04,15.00,0.00,2021-06-01,05:45:00
73,45880000,2021-06-01 05:30:00 ,34.04,15.00,0.00,2021-06-01,05:30:00
74,45880000,2021-06-01 05:15:00 ,34.04,15.00,0.00,2021-06-01,05:15:00
75,45880000,2021-06-01 05:00:00 ,34.04,15.00,0.00,2021-06-01,05:00:00
76,45880000,2021-06-01 04:45:00 ,34.04,15.00,0.00,2021-06-01,04:45:00
77,45880000,2021-06-01 04:30:00 ,34.04,15.00,0.00,2021-06-01,04:30:00
78,45880000,2021-06-01 04:15:00 ,34.04,15.00,0.00,2021-06-01,04:15:00
79,45880000,2021-06-01 04:00:00 ,34.04,15.00,0.00,2021-06-01,04:00:00
80,45880000,2021-06-01 03:45:00 ,34.04,15.00,0.00,2021-06-01,03:45:00
81,45880000,2021-06-01 03:30:00 ,34.04,15.00,0.00,2021-06-01,03:30:00
82,45880000,2021-06-01 03:15:00 ,34.04,15.00,0.00,2021-06-01,03:15:00
83,45880000,2021-06-01 03:00:00 ,34.04,15.00,0.00,2021-06-01,03:00:00
84,45880000,2021-06-01 02:45:00 ,34.04,15.00,0.00,2021-06-01,02:45:00
85,45880000,2021-06-01 02:30:00 ,34.04,15.00,0.00,2021-06-01,02:30:00
86,45880000,2021-06-01 02:15:00 ,34.04,15.00,0.00,2021-06-01,02:15:00
87,45880000,2021-06-01 02:00:00 ,34.60,16.00,0.00,2021-06-01,02:00:00
88,45880000,2021-06-01 01:45:00 ,34.60,16.00,0.00,2021-06-01,01:45:00
89,45880000,2021-06-01 01:30:00 ,34.60,16.00,0.00,2021-06-01,01:30:00
90,45880000,2021-06-01 01:15:00 ,34.60,16.00,0.00,2021-06-01,01:15:00
91,45880000,2021-06-01 01:00:00 ,34.60,16.00,0.00,2021-06-01,01:00:00
92,45880000,2021-06-01 00:45:00 ,34.60,16.00,0.00,2021-06-01,00:45:00
93,45880000,2021-06-01 00:30:00 ,34.60,16.00,0.00,2021-06-01,00:30:00
94,45880000,2021-06-01 00:15:00 ,34.60,16.00,0.00,2021-06-01,00:15:00
95,45880000,2021-06-01 00:00:00 ,34.60,16.00,0.00,2021-06-01,00:00:00
96,45880000,2021-05-31 23:45:00 ,34.60,16.00,0.00,2021-05-31,23:45:00
97,45880000,2021-05-31 23:30:00 ,34.60,16.00,0.00,2021-05-31,23:30:00
98,45880000,2021-05-31 23:15:00 ,34.60,16.00,0.00,2021-05-31,23:15:00
99,45880000,2021-05-31 23:00:00 ,34.60,16.00,0.00,2021-05-31,23:00:00
100,45880000,2021-05-31 22:45:00 ,34.60,16.00,0.00,2021-05-31,22:45:00
101,45880000,2021-05-31 22:30:00 ,34.60,16.00,0.00,2021-05-31,22:30:00
102,45880000,2021-05-31 22:15:00 ,34.60,16.00,0.00,2021-05-31,22:15:00
103,45880000,2021-05-31 22:00:00 ,34.60,16.00,0.00,2021-05-31,22:00:00
104,45880000,2021-05-31 21:45:00 ,34.60,16.00,0.00,2021-05-31,21:45:00
105,45880000,2021-05-31 21:30:00 ,34.60,16.00,0.00,2021-05-31,21:30:00
106,45880000,2021-05-31 21:15:00 ,34.60,16.00,0.00,2021-05-31,21:15:00
107,45880000,2021-05-31 21:00:00 ,34.60,16.00,0.00,2021-05-31,21:00:00
108,45880000,2021-05-31 20:45:00 ,34.60,16.00,0.00,2021-05-31,20:45:00
109,45880000,2021-05-31 20:30:00 ,34.60,16.00,0.00,2021-05-31,20:30:00
110,45880000,2021-05-31 20:15:00 ,34.60,16.00,0.00,2021-05-31,20:15:00
111,45880000,2021-05-31 20:00:00 ,34.60,16.00,0.00,2021-05-31,20:00:00
112,45880000,2021-05-31 19:45:00 ,34.60,16.00,0.00,2021-05-31,19:45:00
113,45880000,2021-05-31 19:30:00 ,34.60,16.00,0.00,2021-05-31,19:30:00
114,45880000,2021-05-31 19:15:00 ,34.60,16.00,0.00,2021-05-31,19:15:00
115,45880000,2021-05-31 19:00:00 ,34.60,16.00,0.00,2021-05-31,19:00:00
116,45880000,2021-05-31 18:45:00 ,34.60,16.00,0.00,2021-05-31,18:45:00
117,45880000,2021-05-31 18:30:00 ,34.60,16.00,0.00,2021-05-31,18:30:00
118,45880000,2021-05-31 18:15:00 ,34.60,16.00,0.00,2021-05-31,18:15:00
119,45880000,2021-05-31 18:00:00 ,34.60,16.00,0.00,2021-05-31,18:00:00
