;data;hora;chuva;nivel;vazao diaria
95;2021-06-01;00:00:00;0.0;34.0;21.357368421052623
191;2021-05-31;00:00:00;0.0;34.0;21.31684210526315
287;2021-05-30;00:00:00;0.0;34.0;21.287894736842098
383;2021-05-29;00:00:00;0.0;34.0;21.287894736842098
479;2021-05-28;00:00:00;0.0;34.0;21.368947368421043
575;2021-05-27;00:00:00;0.0;34.0;21.293684210526308
671;2021-05-26;00:00:00;0.0;34.0;21.30526315789473
767;2021-05-25;00:00:00;0.0;34.0;21.438421052631572
863;2021-05-24;00:00:00;0.0;34.0;21.52526315789474
959;2021-05-23;00:00:00;0.0;35.0;21.605934065934072
1055;2021-05-22;00:00:00;0.0;35.0;21.797368421052635
1151;2021-05-21;00:00:00;0.0;35.0;21.97684210526316
1247;2021-05-20;00:00:00;0.0;35.0;22.046315789473685
1343;2021-05-19;00:00:00;0.0;36.0;22.121578947368423
1439;2021-05-18;00:00:00;0.0;35.0;22.040526315789474
1535;2021-05-17;00:00:00;0.0;35.0;21.895789473684214
1631;2021-05-16;00:00:00;0.0;35.0;21.90157894736842
1727;2021-05-15;00:00:00;0.0;35.0;21.843684210526316
1823;2021-05-14;00:00:00;0.0;35.0;21.803157894736845
1919;2021-05-13;00:00:00;0.0;35.0;21.681379310344834
2015;2021-05-12;00:00:00;0.0;35.0;21.67118279569893
2111;2021-05-11;00:00:00;0.0;35.0;21.59287356321839
2207;2021-05-10;00:00:00;0.0;34.0;21.596250000000005
2303;2021-05-09;00:00:00;0.0;35.0;21.623684210526317
2399;2021-05-08;00:00:00;0.0;35.0;21.971052631578946
2495;2021-05-07;00:00:00;0.0;35.0;22.179473684210528
2591;2021-05-06;00:00:00;0.0;36.0;22.502
2687;2021-05-05;00:00:00;0.0;37.0;22.908526315789473
2783;2021-05-04;00:00:00;0.0;37.0;23.256813186813186
2879;2021-05-03;00:00:00;0.0;38.0;23.84105263157893
2975;2021-05-02;00:00:00;0.0;40.0;0.0
3071;2021-05-01;00:00:00;0.0;41.0;0.0
