;data;hora;chuva;nivel;vazao diaria
95;2021-06-01;00:00:00;0.0;56.0;12.618105263157899
191;2021-05-31;00:00:00;0.0;57.0;12.910000000000005
287;2021-05-30;00:00:00;0.0;57.0;
383;2021-05-29;00:00:00;0.0;57.0;13.137578947368427
479;2021-05-28;00:00:00;0.0;58.0;
575;2021-05-27;00:00:00;0.0;58.0;13.738736842105254
671;2021-05-26;00:00:00;0.0;59.0;13.721333333333334
767;2021-05-25;00:00:00;0.0;58.0;13.093052631578953
863;2021-05-24;00:00:00;0.0;58.0;13.556842105263163
959;2021-05-23;00:00:00;0.0;58.0;13.667999999999994
1055;2021-05-22;00:00:00;0.0;59.0;13.859999999999989
1151;2021-05-21;00:00:00;0.0;59.0;12.190777777777772
