;data;hora;chuva;nivel;vazao diaria
101;2021-05-31;22:30:00;0.0;34.0;21.357368421052623
102;2021-05-31;22:15:00;0.0;34.0;21.357368421052623
103;2021-05-31;22:00:00;0.0;34.0;21.357368421052623
104;2021-05-31;21:45:00;0.0;34.0;21.357368421052623
105;2021-05-31;21:30:00;0.0;34.0;21.357368421052623
106;2021-05-31;21:15:00;0.0;34.0;21.357368421052623
107;2021-05-31;21:00:00;0.0;34.0;21.357368421052623
108;2021-05-31;20:45:00;0.0;33.0;21.357368421052623
109;2021-05-31;20:30:00;0.0;33.0;21.357368421052623
110;2021-05-31;20:15:00;0.0;34.0;21.357368421052623
111;2021-05-31;20:00:00;0.0;34.0;21.357368421052623
112;2021-05-31;19:45:00;0.0;33.0;21.357368421052623
113;2021-05-31;19:30:00;0.0;33.0;21.357368421052623
114;2021-05-31;19:15:00;0.0;33.0;21.357368421052623
115;2021-05-31;19:00:00;0.0;33.0;21.357368421052623
116;2021-05-31;18:45:00;0.0;33.0;21.357368421052623
117;2021-05-31;18:30:00;0.0;33.0;21.357368421052623
118;2021-05-31;18:15:00;0.0;33.0;21.357368421052623
119;2021-05-31;18:00:00;0.0;33.0;21.357368421052623
120;2021-05-31;17:45:00;0.0;33.0;21.357368421052623
121;2021-05-31;17:30:00;0.0;33.0;21.357368421052623
122;2021-05-31;17:15:00;0.0;33.0;21.357368421052623
123;2021-05-31;17:00:00;0.0;33.0;21.357368421052623
124;2021-05-31;16:45:00;0.0;33.0;21.357368421052623
125;2021-05-31;16:30:00;0.0;33.0;21.357368421052623
126;2021-05-31;16:15:00;0.0;33.0;21.357368421052623
127;2021-05-31;16:00:00;0.0;33.0;21.357368421052623
128;2021-05-31;15:45:00;0.0;33.0;21.357368421052623
129;2021-05-31;15:30:00;0.0;33.0;21.357368421052623
130;2021-05-31;15:15:00;0.0;33.0;21.357368421052623
131;2021-05-31;15:00:00;0.0;33.0;21.357368421052623
132;2021-05-31;14:45:00;0.0;33.0;21.357368421052623
133;2021-05-31;14:30:00;0.0;33.0;21.357368421052623
134;2021-05-31;14:15:00;0.0;33.0;21.357368421052623
135;2021-05-31;14:00:00;0.0;33.0;21.357368421052623
136;2021-05-31;13:45:00;0.0;33.0;21.357368421052623
137;2021-05-31;13:30:00;0.0;33.0;21.357368421052623
