;data;hora;chuva;nivel;vazao diaria
95;2021-06-01;00:00:00;0.0;40.0;29.204210526315777
191;2021-05-31;00:00:00;0.0;38.0;29.680000000000007
287;2021-05-30;00:00:00;0.0;43.0;30.241263157894746
383;2021-05-29;00:00:00;0.0;42.0;30.11684210526316
479;2021-05-28;00:00:00;0.0;42.0;30.520454545454527
575;2021-05-27;00:00:00;0.0;43.0;30.769052631578933
671;2021-05-26;00:00:00;0.0;44.0;30.481063829787235
767;2021-05-25;00:00:00;0.0;40.0;29.569473684210514
863;2021-05-24;00:00:00;0.0;40.0;30.265578947368404
959;2021-05-23;00:00:00;0.0;43.0;30.658611111111117
1055;2021-05-22;00:00:00;0.0;42.0;
1151;2021-05-21;00:00:00;0.0;41.0;
1247;2021-05-20;00:00:00;0.0;42.0;
1343;2021-05-19;00:00:00;0.0;44.0;
1439;2021-05-18;00:00:00;0.0;43.0;30.81228571428571
1535;2021-05-17;00:00:00;0.0;43.0;31.932083333333324
1631;2021-05-16;00:00:00;0.0;47.0;
1727;2021-05-15;00:00:00;0.0;48.0;
1823;2021-05-14;00:00:00;0.0;50.0;
1919;2021-05-13;00:00:00;0.0;53.0;34.2523287671233
2015;2021-05-12;00:00:00;0.0;49.0;
2111;2021-05-11;00:00:00;0.0;47.0;33.751318681318686
2207;2021-05-10;00:00:00;0.0;50.0;35.141749999999995
2303;2021-05-09;00:00:00;0.0;52.0;36.027045454545465
2399;2021-05-08;00:00:00;0.0;55.0;37.365862068965534
2495;2021-05-07;00:00:00;0.0;57.0;37.73336842105264
2591;2021-05-06;00:00:00;0.0;57.0;38.88684210526315
2687;2021-05-05;00:00:00;0.0;61.0;40.383181818181825
2783;2021-05-04;00:00:00;0.0;63.0;41.38648351648351
2879;2021-05-03;00:00:00;0.0;66.0;43.1078494623656
2975;2021-05-02;00:00:00;0.0;68.0;0.0
3071;2021-05-01;00:00:00;0.0;73.0;0.0
