;data;hora;chuva;nivel;vazao diaria
42;2021-05-20;00:00:00;0.0;37.0;30.427789473684197
138;2021-05-19;00:00:00;0.0;36.0;30.682315789473673
234;2021-05-18;00:00:00;0.0;36.0;30.423678160919547
330;2021-05-17;00:00:00;0.0;34.0;31.35627906976744
426;2021-05-16;00:00:00;0.0;38.0;33.530526315789494
522;2021-05-15;00:00:00;0.0;39.0;35.80423913043477
618;2021-05-14;00:00:00;0.0;42.0;37.83765957446808
714;2021-05-13;00:00:00;0.0;42.0;40.61865168539325
810;2021-05-12;00:00:00;0.0;46.0;43.80126315789474
906;2021-05-11;00:00:00;0.0;49.0;44.374421052631575
1002;2021-05-10;00:00:00;0.0;49.0;46.46765957446809
1098;2021-05-09;00:00:00;0.0;50.0;48.28439560439561
1194;2021-05-08;00:00:00;0.0;52.0;48.67000000000001
1290;2021-05-07;00:00:00;0.0;52.0;49.88999999999998
1386;2021-05-06;00:00:00;0.0;53.0;50.47044943820224
1482;2021-05-05;00:00:00;0.0;55.0;53.16655172413792
1578;2021-05-04;00:00:00;0.0;55.0;53.36931034482759
1674;2021-05-03;00:00:00;0.0;56.0;54.57168421052634
1770;2021-05-02;00:00:00;0.0;57.0;0.0
1866;2021-05-01;00:00:00;0.0;57.0;0.0
