;data;hora;chuva;nivel;vazao diaria
95;2021-06-01;00:00:00;0.0;21.0;18.423052631578948
191;2021-05-31;00:00:00;0.0;21.0;18.729999999999997
287;2021-05-30;00:00:00;0.0;22.0;
383;2021-05-29;00:00:00;0.0;22.0;19.274421052631578
479;2021-05-28;00:00:00;0.0;24.0;19.377894736842105
575;2021-05-27;00:00:00;0.0;22.0;
671;2021-05-26;00:00:00;0.0;22.0;18.90294736842105
767;2021-05-25;00:00:00;0.0;23.0;19.555263157894736
863;2021-05-24;00:00:00;0.0;24.0;19.809999999999995
959;2021-05-23;00:00:00;0.0;24.0;19.809999999999995
1055;2021-05-22;00:00:00;0.0;24.0;19.80999999999999
1151;2021-05-21;00:00:00;0.0;24.0;19.607368421052627
1247;2021-05-20;00:00:00;0.0;23.0;18.863894736842102
1343;2021-05-19;00:00:00;0.0;22.0;19.46229885057471
1439;2021-05-18;00:00:00;0.0;24.0;20.05442105263157
1535;2021-05-17;00:00:00;0.0;25.0;20.6742105263158
1631;2021-05-16;00:00:00;0.0;26.0;
1727;2021-05-15;00:00:00;0.0;26.0;
1823;2021-05-14;00:00:00;0.0;26.0;21.464631578947365
1919;2021-05-13;00:00:00;0.0;28.0;22.373404255319148
2015;2021-05-12;00:00:00;0.0;29.0;23.394545454545458
2111;2021-05-11;00:00:00;0.0;31.0;24.006
2207;2021-05-10;00:00:00;0.0;32.0;25.03315789473685
2299;2021-05-09;00:00:00;0.0;35.0;26.369347826086962
2395;2021-05-08;00:00:00;0.0;37.0;27.391157894736846
2483;2021-05-07;00:00:00;0.0;38.0;27.94052631578947
2575;2021-05-06;00:00:00;0.0;39.0;28.763333333333332
2667;2021-05-05;00:00:00;0.0;40.0;29.42105263157894
2759;2021-05-04;00:00:00;0.0;41.0;29.848947368421058
2855;2021-05-03;00:00:00;0.0;42.0;
2951;2021-05-02;00:00:00;0.0;42.0;0.0
3047;2021-05-01;00:00:00;0.0;41.0;0.0
