;data;hora;chuva;nivel;vazao diaria
95;2021-06-01;00:00:00;0.0;;
191;2021-05-31;00:00:00;0.0;;
287;2021-05-30;00:00:00;0.0;;
383;2021-05-29;00:00:00;0.0;;
479;2021-05-28;00:00:00;0.0;;
575;2021-05-27;00:00:00;0.0;;
671;2021-05-26;00:00:00;0.0;;
767;2021-05-25;00:00:00;0.0;;
863;2021-05-24;00:00:00;0.0;;
959;2021-05-23;00:00:00;0.0;;
1055;2021-05-22;00:00:00;0.0;;
1151;2021-05-21;00:00:00;0.0;;
1247;2021-05-20;00:00:00;0.0;;
1343;2021-05-19;00:00:00;0.0;;
1439;2021-05-18;00:00:00;0.0;;
1535;2021-05-17;00:00:00;0.0;;
1631;2021-05-16;00:00:00;0.0;;
1727;2021-05-15;00:00:00;0.0;;
1823;2021-05-14;00:00:00;0.0;;
1919;2021-05-13;00:00:00;0.0;;
2015;2021-05-12;00:00:00;0.0;;
2111;2021-05-11;00:00:00;0.0;;
2207;2021-05-10;00:00:00;0.0;;
2303;2021-05-09;00:00:00;0.0;;
2399;2021-05-08;00:00:00;0.0;;
2495;2021-05-07;00:00:00;0.0;;
2591;2021-05-06;00:00:00;0.0;;
2687;2021-05-05;00:00:00;0.0;;
2783;2021-05-04;00:00:00;0.0;;
2879;2021-05-03;00:00:00;0.0;;
2975;2021-05-02;00:00:00;0.0;;0.0
3071;2021-05-01;00:00:00;0.0;;0.0
